id;fecha;nombre;cantidad_pescadores;cantidad_clubes
1;2020-01-23;South Dakota synergy Optimized;67314;1908
2;2020-01-22;Steel;78706;40743
3;2020-01-22;programming Home Loan Account;14570;31033
4;2020-01-23;withdrawal extranet Won;64868;5967
5;2020-01-23;Kentucky Manager;29167;38935
6;2020-01-22;New Leu Borders;13630;51938
7;2020-01-23;Technician;58011;68268
8;2020-01-22;Awesome Steel Computer Profound reintermediate;6946;93396
9;2020-01-22;system Frozen Plastic;46002;12263
10;2020-01-23;ivory;34369;30128
