id;nombre;descripcion
1;Refined quantifying;encompassing
2;hacking Granite;Personal Loan Account Assurance Naira
3;Money Market Account Automotive navigating;e-enable Garden Soap
4;Baby;Washington Intranet Rhode Island
5;Developer cyan;parsing Handcrafted Soft Fish European Unit of Account 17(E.U.A.-17)
6;Azerbaijanian Manat;Auto Loan Account hard drive Virgin Islands, British
7;Colorado Bacon;Morocco deposit metrics
8;Car;Hawaii withdrawal Svalbard & Jan Mayen Islands
9;Chair Cambridgeshire Chief;system South Dakota enterprise
10;Intelligent Steel Cheese Incredible Frozen Shirt i;Electronics cross-platform
